Disease,Count_number_of_URLs,URL,Symptoms_and_Causes,Diagnosis_and_Tests,Management_and_Treatment,Prevention,Prognosis,Living_with
4798-chronic-pain,6,https://my.clevelandclinic.org/health/diseases/4798-chronic-pain,https://my.clevelandclinic.org/health/diseases/4798-chronic-pain#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/4798-chronic-pain#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/4798-chronic-pain#management-and-treatment,https://my.clevelandclinic.org/health/diseases/4798-chronic-pain#prevention,https://my.clevelandclinic.org/health/diseases/4798-chronic-pain#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/4798-chronic-pain#living-with
21756-triple-negative-breast-cancer-tnbc,6,https://my.clevelandclinic.org/health/diseases/21756-triple-negative-breast-cancer-tnbc,https://my.clevelandclinic.org/health/diseases/21756-triple-negative-breast-cancer-tnbc#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21756-triple-negative-breast-cancer-tnbc#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21756-triple-negative-breast-cancer-tnbc#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21756-triple-negative-breast-cancer-tnbc#prevention,https://my.clevelandclinic.org/health/diseases/21756-triple-negative-breast-cancer-tnbc#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21756-triple-negative-breast-cancer-tnbc#living-with
5554-tourette-syndrome,6,https://my.clevelandclinic.org/health/diseases/5554-tourette-syndrome,https://my.clevelandclinic.org/health/diseases/5554-tourette-syndrome#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/5554-tourette-syndrome#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/5554-tourette-syndrome#management-and-treatment,https://my.clevelandclinic.org/health/diseases/5554-tourette-syndrome#prevention,https://my.clevelandclinic.org/health/diseases/5554-tourette-syndrome#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/5554-tourette-syndrome#living-with
16409-uterine-cancer,6,https://my.clevelandclinic.org/health/diseases/16409-uterine-cancer,https://my.clevelandclinic.org/health/diseases/16409-uterine-cancer#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/16409-uterine-cancer#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/16409-uterine-cancer#management-and-treatment,https://my.clevelandclinic.org/health/diseases/16409-uterine-cancer#prevention,https://my.clevelandclinic.org/health/diseases/16409-uterine-cancer#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/16409-uterine-cancer#living-with
17624-vocal-fold-paralysis,6,https://my.clevelandclinic.org/health/diseases/17624-vocal-fold-paralysis,https://my.clevelandclinic.org/health/diseases/17624-vocal-fold-paralysis#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/17624-vocal-fold-paralysis#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/17624-vocal-fold-paralysis#management-and-treatment,https://my.clevelandclinic.org/health/diseases/17624-vocal-fold-paralysis#prevention,https://my.clevelandclinic.org/health/diseases/17624-vocal-fold-paralysis#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/17624-vocal-fold-paralysis#living-with
22102-hypopituitarism,6,https://my.clevelandclinic.org/health/diseases/22102-hypopituitarism,https://my.clevelandclinic.org/health/diseases/22102-hypopituitarism#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/22102-hypopituitarism#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/22102-hypopituitarism#management-and-treatment,https://my.clevelandclinic.org/health/diseases/22102-hypopituitarism#prevention,https://my.clevelandclinic.org/health/diseases/22102-hypopituitarism#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/22102-hypopituitarism#living-with
22070-growth-spurts,6,https://my.clevelandclinic.org/health/diseases/22070-growth-spurts,https://my.clevelandclinic.org/health/diseases/22070-growth-spurts#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/22070-growth-spurts#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/22070-growth-spurts#management-and-treatment,https://my.clevelandclinic.org/health/diseases/22070-growth-spurts#prevention,https://my.clevelandclinic.org/health/diseases/22070-growth-spurts#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/22070-growth-spurts#living-with
15252-delirium,6,https://my.clevelandclinic.org/health/diseases/15252-delirium,https://my.clevelandclinic.org/health/diseases/15252-delirium#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/15252-delirium#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/15252-delirium#management-and-treatment,https://my.clevelandclinic.org/health/diseases/15252-delirium#prevention,https://my.clevelandclinic.org/health/diseases/15252-delirium#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/15252-delirium#living-with
17113-hyperhidrosis,6,https://my.clevelandclinic.org/health/diseases/17113-hyperhidrosis,https://my.clevelandclinic.org/health/diseases/17113-hyperhidrosis#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/17113-hyperhidrosis#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/17113-hyperhidrosis#management-and-treatment,https://my.clevelandclinic.org/health/diseases/17113-hyperhidrosis#prevention,https://my.clevelandclinic.org/health/diseases/17113-hyperhidrosis#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/17113-hyperhidrosis#living-with
11039-bacterial-meningitis,6,https://my.clevelandclinic.org/health/diseases/11039-bacterial-meningitis,https://my.clevelandclinic.org/health/diseases/11039-bacterial-meningitis#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/11039-bacterial-meningitis#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/11039-bacterial-meningitis#management-and-treatment,https://my.clevelandclinic.org/health/diseases/11039-bacterial-meningitis#prevention,https://my.clevelandclinic.org/health/diseases/11039-bacterial-meningitis#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/11039-bacterial-meningitis#living-with
21498-prediabetes,6,https://my.clevelandclinic.org/health/diseases/21498-prediabetes,https://my.clevelandclinic.org/health/diseases/21498-prediabetes#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21498-prediabetes#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21498-prediabetes#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21498-prediabetes#prevention,https://my.clevelandclinic.org/health/diseases/21498-prediabetes#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21498-prediabetes#living-with
16800-brain-aneurysm,6,https://my.clevelandclinic.org/health/diseases/16800-brain-aneurysm,https://my.clevelandclinic.org/health/diseases/16800-brain-aneurysm#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/16800-brain-aneurysm#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/16800-brain-aneurysm#management-and-treatment,https://my.clevelandclinic.org/health/diseases/16800-brain-aneurysm#prevention,https://my.clevelandclinic.org/health/diseases/16800-brain-aneurysm#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/16800-brain-aneurysm#living-with
21677-heart-palpitations-and-anxiety,6,https://my.clevelandclinic.org/health/diseases/21677-heart-palpitations-and-anxiety,https://my.clevelandclinic.org/health/diseases/21677-heart-palpitations-and-anxiety#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21677-heart-palpitations-and-anxiety#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21677-heart-palpitations-and-anxiety#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21677-heart-palpitations-and-anxiety#prevention,https://my.clevelandclinic.org/health/diseases/21677-heart-palpitations-and-anxiety#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21677-heart-palpitations-and-anxiety#living-with
6212-acute-myeloid-leukemia-aml,6,https://my.clevelandclinic.org/health/diseases/6212-acute-myeloid-leukemia-aml,https://my.clevelandclinic.org/health/diseases/6212-acute-myeloid-leukemia-aml#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/6212-acute-myeloid-leukemia-aml#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/6212-acute-myeloid-leukemia-aml#management-and-treatment,https://my.clevelandclinic.org/health/diseases/6212-acute-myeloid-leukemia-aml#prevention,https://my.clevelandclinic.org/health/diseases/6212-acute-myeloid-leukemia-aml#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/6212-acute-myeloid-leukemia-aml#living-with
21703-achilles-tendon-rupture,6,https://my.clevelandclinic.org/health/diseases/21703-achilles-tendon-rupture,https://my.clevelandclinic.org/health/diseases/21703-achilles-tendon-rupture#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21703-achilles-tendon-rupture#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21703-achilles-tendon-rupture#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21703-achilles-tendon-rupture#prevention,https://my.clevelandclinic.org/health/diseases/21703-achilles-tendon-rupture#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21703-achilles-tendon-rupture#living-with
21466-hypertrophic-scar,6,https://my.clevelandclinic.org/health/diseases/21466-hypertrophic-scar,https://my.clevelandclinic.org/health/diseases/21466-hypertrophic-scar#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21466-hypertrophic-scar#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21466-hypertrophic-scar#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21466-hypertrophic-scar#prevention,https://my.clevelandclinic.org/health/diseases/21466-hypertrophic-scar#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21466-hypertrophic-scar#living-with
10436-coccydynia-tailbone-pain,6,https://my.clevelandclinic.org/health/diseases/10436-coccydynia-tailbone-pain,https://my.clevelandclinic.org/health/diseases/10436-coccydynia-tailbone-pain#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/10436-coccydynia-tailbone-pain#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/10436-coccydynia-tailbone-pain#management-and-treatment,https://my.clevelandclinic.org/health/diseases/10436-coccydynia-tailbone-pain#prevention,https://my.clevelandclinic.org/health/diseases/10436-coccydynia-tailbone-pain#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/10436-coccydynia-tailbone-pain#living-with
22111-hyperthermia,6,https://my.clevelandclinic.org/health/diseases/22111-hyperthermia,https://my.clevelandclinic.org/health/diseases/22111-hyperthermia#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/22111-hyperthermia#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/22111-hyperthermia#management-and-treatment,https://my.clevelandclinic.org/health/diseases/22111-hyperthermia#prevention,https://my.clevelandclinic.org/health/diseases/22111-hyperthermia#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/22111-hyperthermia#living-with
4314-hypertension-high-blood-pressure,6,https://my.clevelandclinic.org/health/diseases/4314-hypertension-high-blood-pressure,https://my.clevelandclinic.org/health/diseases/4314-hypertension-high-blood-pressure#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/4314-hypertension-high-blood-pressure#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/4314-hypertension-high-blood-pressure#management-and-treatment,https://my.clevelandclinic.org/health/diseases/4314-hypertension-high-blood-pressure#prevention,https://my.clevelandclinic.org/health/diseases/4314-hypertension-high-blood-pressure#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/4314-hypertension-high-blood-pressure#living-with
22024-primary-hypertension-formerly-known-as-essential-hypertension,6,https://my.clevelandclinic.org/health/diseases/22024-primary-hypertension-formerly-known-as-essential-hypertension,https://my.clevelandclinic.org/health/diseases/22024-primary-hypertension-formerly-known-as-essential-hypertension#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/22024-primary-hypertension-formerly-known-as-essential-hypertension#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/22024-primary-hypertension-formerly-known-as-essential-hypertension#management-and-treatment,https://my.clevelandclinic.org/health/diseases/22024-primary-hypertension-formerly-known-as-essential-hypertension#prevention,https://my.clevelandclinic.org/health/diseases/22024-primary-hypertension-formerly-known-as-essential-hypertension#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/22024-primary-hypertension-formerly-known-as-essential-hypertension#living-with
22129-myocarditis,6,https://my.clevelandclinic.org/health/diseases/22129-myocarditis,https://my.clevelandclinic.org/health/diseases/22129-myocarditis#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/22129-myocarditis#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/22129-myocarditis#management-and-treatment,https://my.clevelandclinic.org/health/diseases/22129-myocarditis#prevention,https://my.clevelandclinic.org/health/diseases/22129-myocarditis#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/22129-myocarditis#living-with
21841-menopause,6,https://my.clevelandclinic.org/health/diseases/21841-menopause,https://my.clevelandclinic.org/health/diseases/21841-menopause#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21841-menopause#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21841-menopause#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21841-menopause#prevention,https://my.clevelandclinic.org/health/diseases/21841-menopause#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21841-menopause#living-with
4784-attention-deficithyperactivity-disorder-adhd,6,https://my.clevelandclinic.org/health/diseases/4784-attention-deficithyperactivity-disorder-adhd,https://my.clevelandclinic.org/health/diseases/4784-attention-deficithyperactivity-disorder-adhd#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/4784-attention-deficithyperactivity-disorder-adhd#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/4784-attention-deficithyperactivity-disorder-adhd#management-and-treatment,https://my.clevelandclinic.org/health/diseases/4784-attention-deficithyperactivity-disorder-adhd#prevention,https://my.clevelandclinic.org/health/diseases/4784-attention-deficithyperactivity-disorder-adhd#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/4784-attention-deficithyperactivity-disorder-adhd#living-with
10855-smallpox,6,https://my.clevelandclinic.org/health/diseases/10855-smallpox,https://my.clevelandclinic.org/health/diseases/10855-smallpox#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/10855-smallpox#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/10855-smallpox#management-and-treatment,https://my.clevelandclinic.org/health/diseases/10855-smallpox#prevention,https://my.clevelandclinic.org/health/diseases/10855-smallpox#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/10855-smallpox#living-with
21072-yellow-tongue,6,https://my.clevelandclinic.org/health/diseases/21072-yellow-tongue,https://my.clevelandclinic.org/health/diseases/21072-yellow-tongue#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21072-yellow-tongue#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21072-yellow-tongue#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21072-yellow-tongue#prevention,https://my.clevelandclinic.org/health/diseases/21072-yellow-tongue#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21072-yellow-tongue#living-with
12214-hypoplastic-left-heart-syndrome-hlhs,6,https://my.clevelandclinic.org/health/diseases/12214-hypoplastic-left-heart-syndrome-hlhs,https://my.clevelandclinic.org/health/diseases/12214-hypoplastic-left-heart-syndrome-hlhs#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/12214-hypoplastic-left-heart-syndrome-hlhs#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/12214-hypoplastic-left-heart-syndrome-hlhs#management-and-treatment,https://my.clevelandclinic.org/health/diseases/12214-hypoplastic-left-heart-syndrome-hlhs#prevention,https://my.clevelandclinic.org/health/diseases/12214-hypoplastic-left-heart-syndrome-hlhs#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/12214-hypoplastic-left-heart-syndrome-hlhs#living-with
21692-right-bundle-branch-block,6,https://my.clevelandclinic.org/health/diseases/21692-right-bundle-branch-block,https://my.clevelandclinic.org/health/diseases/21692-right-bundle-branch-block#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21692-right-bundle-branch-block#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21692-right-bundle-branch-block#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21692-right-bundle-branch-block#prevention,https://my.clevelandclinic.org/health/diseases/21692-right-bundle-branch-block#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21692-right-bundle-branch-block#living-with
21975-stork-bite,6,https://my.clevelandclinic.org/health/diseases/21975-stork-bite,https://my.clevelandclinic.org/health/diseases/21975-stork-bite#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21975-stork-bite#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21975-stork-bite#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21975-stork-bite#prevention,https://my.clevelandclinic.org/health/diseases/21975-stork-bite#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21975-stork-bite#living-with
8589-cataracts,6,https://my.clevelandclinic.org/health/diseases/8589-cataracts,https://my.clevelandclinic.org/health/diseases/8589-cataracts#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/8589-cataracts#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/8589-cataracts#management-and-treatment,https://my.clevelandclinic.org/health/diseases/8589-cataracts#prevention,https://my.clevelandclinic.org/health/diseases/8589-cataracts#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/8589-cataracts#living-with
17672-hiccups,6,https://my.clevelandclinic.org/health/diseases/17672-hiccups,https://my.clevelandclinic.org/health/diseases/17672-hiccups#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/17672-hiccups#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/17672-hiccups#management-and-treatment,https://my.clevelandclinic.org/health/diseases/17672-hiccups#prevention,https://my.clevelandclinic.org/health/diseases/17672-hiccups#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/17672-hiccups#living-with
21063-microtia,6,https://my.clevelandclinic.org/health/diseases/21063-microtia,https://my.clevelandclinic.org/health/diseases/21063-microtia#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21063-microtia#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21063-microtia#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21063-microtia#prevention,https://my.clevelandclinic.org/health/diseases/21063-microtia#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21063-microtia#living-with
12342-common-cold,6,https://my.clevelandclinic.org/health/diseases/12342-common-cold,https://my.clevelandclinic.org/health/diseases/12342-common-cold#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/12342-common-cold#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/12342-common-cold#management-and-treatment,https://my.clevelandclinic.org/health/diseases/12342-common-cold#prevention,https://my.clevelandclinic.org/health/diseases/12342-common-cold#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/12342-common-cold#living-with
9131-vaginitis,6,https://my.clevelandclinic.org/health/diseases/9131-vaginitis,https://my.clevelandclinic.org/health/diseases/9131-vaginitis#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/9131-vaginitis#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/9131-vaginitis#management-and-treatment,https://my.clevelandclinic.org/health/diseases/9131-vaginitis#prevention,https://my.clevelandclinic.org/health/diseases/9131-vaginitis#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/9131-vaginitis#living-with
15327-nail-infection-paronychia,6,https://my.clevelandclinic.org/health/diseases/15327-nail-infection-paronychia,https://my.clevelandclinic.org/health/diseases/15327-nail-infection-paronychia#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/15327-nail-infection-paronychia#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/15327-nail-infection-paronychia#management-and-treatment,https://my.clevelandclinic.org/health/diseases/15327-nail-infection-paronychia#prevention,https://my.clevelandclinic.org/health/diseases/15327-nail-infection-paronychia#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/15327-nail-infection-paronychia#living-with
15038-concussion,6,https://my.clevelandclinic.org/health/diseases/15038-concussion,https://my.clevelandclinic.org/health/diseases/15038-concussion#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/15038-concussion#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/15038-concussion#management-and-treatment,https://my.clevelandclinic.org/health/diseases/15038-concussion#prevention,https://my.clevelandclinic.org/health/diseases/15038-concussion#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/15038-concussion#living-with
21960-breast-eczema,6,https://my.clevelandclinic.org/health/diseases/21960-breast-eczema,https://my.clevelandclinic.org/health/diseases/21960-breast-eczema#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21960-breast-eczema#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21960-breast-eczema#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21960-breast-eczema#prevention,https://my.clevelandclinic.org/health/diseases/21960-breast-eczema#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21960-breast-eczema#living-with
21882-poor-circulation,6,https://my.clevelandclinic.org/health/diseases/21882-poor-circulation,https://my.clevelandclinic.org/health/diseases/21882-poor-circulation#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21882-poor-circulation#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21882-poor-circulation#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21882-poor-circulation#prevention,https://my.clevelandclinic.org/health/diseases/21882-poor-circulation#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21882-poor-circulation#living-with
16747-aplastic-anemia,6,https://my.clevelandclinic.org/health/diseases/16747-aplastic-anemia,https://my.clevelandclinic.org/health/diseases/16747-aplastic-anemia#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/16747-aplastic-anemia#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/16747-aplastic-anemia#management-and-treatment,https://my.clevelandclinic.org/health/diseases/16747-aplastic-anemia#prevention,https://my.clevelandclinic.org/health/diseases/16747-aplastic-anemia#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/16747-aplastic-anemia#living-with
15690-fibroadenomas-of-the-breast,6,https://my.clevelandclinic.org/health/diseases/15690-fibroadenomas-of-the-breast,https://my.clevelandclinic.org/health/diseases/15690-fibroadenomas-of-the-breast#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/15690-fibroadenomas-of-the-breast#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/15690-fibroadenomas-of-the-breast#management-and-treatment,https://my.clevelandclinic.org/health/diseases/15690-fibroadenomas-of-the-breast#prevention,https://my.clevelandclinic.org/health/diseases/15690-fibroadenomas-of-the-breast#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/15690-fibroadenomas-of-the-breast#living-with
17499-spinal-stenosis,6,https://my.clevelandclinic.org/health/diseases/17499-spinal-stenosis,https://my.clevelandclinic.org/health/diseases/17499-spinal-stenosis#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/17499-spinal-stenosis#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/17499-spinal-stenosis#management-and-treatment,https://my.clevelandclinic.org/health/diseases/17499-spinal-stenosis#prevention,https://my.clevelandclinic.org/health/diseases/17499-spinal-stenosis#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/17499-spinal-stenosis#living-with
22103-carcinoid-syndrome,6,https://my.clevelandclinic.org/health/diseases/22103-carcinoid-syndrome,https://my.clevelandclinic.org/health/diseases/22103-carcinoid-syndrome#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/22103-carcinoid-syndrome#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/22103-carcinoid-syndrome#management-and-treatment,https://my.clevelandclinic.org/health/diseases/22103-carcinoid-syndrome#prevention,https://my.clevelandclinic.org/health/diseases/22103-carcinoid-syndrome#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/22103-carcinoid-syndrome#living-with
14205-avascular-necrosis-osteonecrosis,6,https://my.clevelandclinic.org/health/diseases/14205-avascular-necrosis-osteonecrosis,https://my.clevelandclinic.org/health/diseases/14205-avascular-necrosis-osteonecrosis#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/14205-avascular-necrosis-osteonecrosis#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/14205-avascular-necrosis-osteonecrosis#management-and-treatment,https://my.clevelandclinic.org/health/diseases/14205-avascular-necrosis-osteonecrosis#prevention,https://my.clevelandclinic.org/health/diseases/14205-avascular-necrosis-osteonecrosis#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/14205-avascular-necrosis-osteonecrosis#living-with
14803-connective-tissue-diseases,6,https://my.clevelandclinic.org/health/diseases/14803-connective-tissue-diseases,https://my.clevelandclinic.org/health/diseases/14803-connective-tissue-diseases#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/14803-connective-tissue-diseases#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/14803-connective-tissue-diseases#management-and-treatment,https://my.clevelandclinic.org/health/diseases/14803-connective-tissue-diseases#prevention,https://my.clevelandclinic.org/health/diseases/14803-connective-tissue-diseases#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/14803-connective-tissue-diseases#living-with
21807-abdominal-muscle-strain,6,https://my.clevelandclinic.org/health/diseases/21807-abdominal-muscle-strain,https://my.clevelandclinic.org/health/diseases/21807-abdominal-muscle-strain#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21807-abdominal-muscle-strain#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21807-abdominal-muscle-strain#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21807-abdominal-muscle-strain#prevention,https://my.clevelandclinic.org/health/diseases/21807-abdominal-muscle-strain#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21807-abdominal-muscle-strain#living-with
16940-dry-skinitchy-skin,6,https://my.clevelandclinic.org/health/diseases/16940-dry-skinitchy-skin,https://my.clevelandclinic.org/health/diseases/16940-dry-skinitchy-skin#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/16940-dry-skinitchy-skin#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/16940-dry-skinitchy-skin#management-and-treatment,https://my.clevelandclinic.org/health/diseases/16940-dry-skinitchy-skin#prevention,https://my.clevelandclinic.org/health/diseases/16940-dry-skinitchy-skin#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/16940-dry-skinitchy-skin#living-with
17782-plague,6,https://my.clevelandclinic.org/health/diseases/17782-plague,https://my.clevelandclinic.org/health/diseases/17782-plague#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/17782-plague#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/17782-plague#management-and-treatment,https://my.clevelandclinic.org/health/diseases/17782-plague#prevention,https://my.clevelandclinic.org/health/diseases/17782-plague#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/17782-plague#living-with
21791-lobular-carcinoma-in-situ-lcis,6,https://my.clevelandclinic.org/health/diseases/21791-lobular-carcinoma-in-situ-lcis,https://my.clevelandclinic.org/health/diseases/21791-lobular-carcinoma-in-situ-lcis#symptoms-and-causes,https://my.clevelandclinic.org/health/diseases/21791-lobular-carcinoma-in-situ-lcis#diagnosis-and-tests,https://my.clevelandclinic.org/health/diseases/21791-lobular-carcinoma-in-situ-lcis#management-and-treatment,https://my.clevelandclinic.org/health/diseases/21791-lobular-carcinoma-in-situ-lcis#prevention,https://my.clevelandclinic.org/health/diseases/21791-lobular-carcinoma-in-situ-lcis#outlook--prognosis,https://my.clevelandclinic.org/health/diseases/21791-lobular-carcinoma-in-situ-lcis#living-with
